speech_id,file,year,sentence,negative,neutral,positive,compound score
speech_00048,parnell_source_00233,1876,Amid loud and prolonged cheering Mr. Cowen declared that if hon. members in that part of the House deliberately impugned the decision of the Chairman of Committees it was well that it should be known that gentlemen sitting in that part of the House did not agree with him.,0.084,0.818,0.098,0.1999
"speech_00087, speech_00088",parnell_source_00341,1880,"We are now endeavoring to improve the land system, and the landlords do not like it.",0.111,0.736,0.153,0.1999
speech_00052,parnell_source_00274,1886,I never accused the right hon. gentleman or Lord Spencer of having believed the same thing   of having sanctioned the execution knowing that the men were innocent.,0.084,0.772,0.144,0.1994
speech_00052,parnell_source_00269,1886,"But I do not desire to go into these things, but will leave history to record that in every resolution we moved with reference to the administration of the right hon gentleman during his term of office we were more than justified in what we did.",0.083,0.837,0.079,0.1976
speech_00052,parnell_source_00271,1886,"But I do not desire to go into these things, but will leave history to report that in every resolution we moved with reference to the administration of the right hon. gentleman during his term of office we were more than justified in what we did.",0.083,0.837,0.079,0.1976
speech_00052,parnell_source_00272,1886,"But I do not desire to go into these things, but will leave history to report that in every resolution we moved with reference to the Administration of the right hon. gentleman during his term of office, we were more than justified in what we did.",0.083,0.837,0.079,0.1976
speech_00052,parnell_source_00281,1886,"But I do not desire to go into these things, but will leave history to report that in every resolution we moved with reference to the administration of the right hon. gentleman during his term of office we were more than often we were more than justified in what we did.",0.076,0.852,0.072,0.1976
speech_00068,parnell_source_00298,1880,"Now, he submitted that this was neither fair nor worthy treatment, on the part of those right hon. Gentlemen, to extend to Irish Members.",0.073,0.786,0.14,0.1971
speech_00025,parnell_source_00098,1875,But they said they did not want to interfere in the affairs of the English people   they only wanted to manage their own .,0.055,0.859,0.086,0.1967
speech_00025,parnell_source_00099,1875,But they said they did not want to interfere in the affairs of the English people   they only wanted to manage their own .,0.055,0.859,0.086,0.1967
speech_00059,parnell_source_00289,1880,"He must not take too much time to consider the subject; and unless he did something in that Bill for the purpose of freeing the people from pauperism and from the necessity for emigration, both must go on, and he would not have any opportunity until next Session.",0.045,0.894,0.06,0.1945
speech_00012,parnell_source_00045,1875,"I wish to disclaim any such wish; or that I desired to cast any imputation of any kind whatever upon the right hon gentleman; but, at the same time, the hon gentleman will observe that if I don't wish to make any imputation upon him, he appeared to me, by his answer to my question, to cast imputation on the Rev Mr Behan.",0.116,0.73,0.154,0.1901
speech_00042,parnell_source_00173,1876,"He found by the Act that only magistrates residing in the district or attending petty sessions were entitled to vote at such elections; but on this occasion one stipendiary magistrate voted, which was to be regretted, for he was glad to say the stipendiary magistrates were not in the habit of voting at these elections.",0.078,0.831,0.09,0.1901
speech_00042,parnell_source_00174,1876,"He found by the Act that only magistrates residing in the district or attending petty sessions were entitled to vote at such elections; but on this occasion one stipendiary magistrate voted, which was to be regretted, for he was glad to say the stipendiary magistrates were not in the habit of voting at these elections.",0.078,0.831,0.09,0.1901
speech_00042,parnell_source_00187,1876,"He found by the Act that only magistrates residing in the district or attending petty sessions were entitled to vote at such elections; but on this occasion one stipendiary magistrate voted, which was to be regretted, for he was glad to say the stipendiary magistrates were not in the habit of voting at these elections.",0.078,0.831,0.09,0.1901
speech_00042,parnell_source_00188,1876,"He found by the act that only magistrates residing in the district or attending petty sessions were entitled to vote at such elections; but on this occasion one stipendiary magistrate voted, which was to be regretted, for he was glad to say the stipendiary magistrates were not in the habit of voting at these elections.",0.078,0.831,0.09,0.1901
speech_00072,parnell_source_00304,1880,"It says it gives the Cardinal the privilege of naming proxies, but does not concede that to Parnell, not recognize Parnell's rights to prescribe duties.",0,0.932,0.068,0.1901
speech_00072,parnell_source_00309,1880,"It gives the Cardinal the privilege of naming proxies, but does not concede that to Parnell, nor recognize Parnell's rights to prescribe conditions.",0,0.926,0.074,0.1901
speech_00075,parnell_source_00325,1886,"It must be recollected that this is a limited question; and I am very much disposed to believe of course, I have not accurate information in my possession, but I am disposed to believe that the land of Ireland in the possession of agricultural tenants, within the meaning of the Land Act, including bonâ fide leaseholders, and leaving out of the question mesne lands, does not amount to the value of more than £5,000,000 or £6,000,000 at the outside; and taking that valuation as the basis and certainly we could not take a higher I think it would be fair to arrange to purchase at such a number of years purchase as would fairly compensate the landlords and extricate them from the dangerous and difficult position they occupy now.",0.066,0.855,0.079,0.1901
speech_00079,parnell_source_00333,1880,"But we feel that we cannot longer shut out eyes to the terrible peril that is approaching, and we think that we ought to put the case before our own countrymen both at home and here in America, and endeavor to enlist their sympathy with our great efforts.",0.133,0.721,0.146,0.1901
speech_00086,parnell_source_00340,1880,"But when the English conquered Ireland, they brought this feudal land system; in other words they took away the whole of the land from the people, and they transferred it to the soldiers of fortune, and others who had come over from England from time to time to assist them in their conquest of the country.",0.042,0.904,0.054,0.1901
speech_00054,parnell_source_00284,1880,"The discretionary power of the chairman under the 18th section was left in the fullest extent, and they did not interfere with it in the slightest degree.",0,0.937,0.063,0.1877
speech_00076,parnell_source_00326,1886,The Protestants of Ireland are not a bit afraid of either the Pope or the Papists.,0,0.889,0.111,0.1877
speech_00076,parnell_source_00326,1886,We are not a bit afraid of the Roman Catholics.,0,0.821,0.179,0.1877
"speech_00087, speech_00088",parnell_source_00341,1880,Without waiting for agitation the English landlords decreased their rents.,0,0.838,0.162,0.1877
speech_00056,parnell_source_00286,1880,He thought Irish Members had made a mistake in not approaching the unequal incidence of the taxation in England and in Ireland with a definite intention.,0.087,0.763,0.15,0.1867
