speech_id,file,year,sentence,negative,neutral,positive,compound score
speech_00073,parnell_source_00318,1885,"But he looked forward to the future with a light heart, and he was confident that the 500,000 Irishmen who would vote in a few years would be as true, or truer to Ireland than those who had gone before; and that they might safely trust them to the exercise of the great and important privilege, unequalled in its greatness in the history of any country, which would shortly be placed upon them.",0,0.629,0.371,0.9903
speech_00073,parnell_source_00332,1885,"But he looked forward to the future with a light heart, for he was convinced that the 500,000 Irishmen who within a year must vote for the men of their choice, would be as true to Ireland, even truer to Ireland, than those who had gone before them      and that they might safely trust to them to exercise the great and important privilege, unequalled in its greatness and magnitude in the history of any nation, which will shortly be placed upon them.",0,0.664,0.336,0.9898
speech_00053,parnell_source_00302,1886,"I am convinced that there are sufficient number of wise and just men in this house to cause it to disregard the appeals made to passion and to pocket, and to choose the better way of the Prime Minister   a way of peace and good will amongst nations   and that when the numbers in the division lobby have been told tonight it will also be told, for the admiration of all future generations, that England and her Parliament in this nineteenth century was wise enough, brave enough, and generous enough to end this strife of centuries and give peace, prosperity, and happiness to suffering Ireland",0.059,0.621,0.32,0.987
speech_00053,parnell_source_00282,1886,"I am convinced there are a sufficient number of wise and just Members in this House to cause it to disregard appeals made to passion and to pocket, and to choose the better way of the Prime Minister the way of founding peace and goodwill among nations; and when the numbers in the Division Lobby come to be told, it will also be told, for the admiration of all future generations, that England and her Parliament, in this nineteenth century, was wise enough, brave enough, and generous enough to close the strife of centuries, and to give peace, prosperity, and happiness to suffering Ireland.",0.058,0.636,0.307,0.9853
speech_00053,parnell_source_00303,1886,"I am convinced there are a sufficient number of wise and just members in this House to cause it to disregard appeals made to passion, and to choose the better way of founding peace and good will among nations, and when the numbers in the division lobby come to be told, it will also be told, for the admiration of all future generations, that England and her Parliament, in this nineteenth century, was wise enough, brave enough, and generous enough to close the strife of centuries and to give peace and prosperity to suffering Ireland.",0.062,0.613,0.325,0.9843
speech_00052,parnell_source_00274,1886,"It is a remarkable fact that the great meetings which are now being held in every State in America are mainly summoned and organized by native born Americans and by the editors and conductors of the purely American newspapers; and we regard the fact that during the last five or six months we have succeeded in entirely gaining the sympathy of the two great American political parties, the Democratic and the Republican, as an omen of great hope for the future of our cause.",0,0.71,0.29,0.9837
speech_00073,parnell_source_00315,1885,"When order was restored, he said   Mr. Mayor, ladies and gentlemen   The Mayor has kindly claimed for me your indulgence, and, indeed, last night when I set out upon the journey which he has described to you, I felt a sinking at my heart lest when I reached Dublin I should find myself unable to go any further, or to keep my engagement with you this evening, but as I approached Ireland I found myself getting better and better , and when I landed and reached Dublin and came near your beautiful city the change became increasingly  so when I reached your city, I found myself quite restored and strong as if nothing had been the matter with me.",0,0.748,0.252,0.9824
speech_00082,parnell_source_00336,1880,"we have told the people that they must retain an attitude of passive resistance, and up to the present time they have maintained that attitude most cheerfully, and we have assured them if they continue to do so their cause is won, and their fortitude makes us hope we shall pass over this Winter in safety and quiet, and we have strong hopes without much bloodshed and without much suffering.",0,0.655,0.345,0.9819
speech_00092,parnell_source_00347,1885,"The Wicklow Convention, Weekly Freeman, 10 October 1885             Mr. Parnell, in replying, said   I am glad to have an opportunity at this impromptu meeting of expressing my thanks to the National League of this town for the very kind address which they have presented to me, and I shall also express to you the great satisfaction and the great encouragement which the proceedings at the Convention to day afforded to my colleagues and to myself.",0,0.688,0.312,0.9817
speech_00073,parnell_source_00308,1885,"He said   Mr. Mayor and ladies and gentlemen, the mayor has kindly claimed for me your indulgence, and indeed last night when I set out upon the journey which he has described to you I felt a sinking at my heart lest when I should reach Dublin I should find myself unable to go any further, or to keep my engagement with you this evening, but when I approached Ireland I found myself getting better and better , and when I landed    when I reached Dublin, and came near your beautiful city of Cork the change became increasingly marked , so that when I reached your city I felt myself quite restored and strong, as if nothing had ever been the matter with me .",0,0.764,0.236,0.9816
speech_00049,parnell_source_00238,1886,"The Rev. Mr. Carolan said   I have great pleasure in introducing to you the illustrious leader of the Irish Parliamentary Party, who has done us the high honour of coming here to address you, and I am sure that we shall all remember with pride what we had the honour of a visit from the greatest Parliamentary leader of his time.",0,0.651,0.349,0.9794
speech_00091,parnell_source_00346,1885,"And for the rest, gentlemen, outside the land question, which is the real question of Ireland at present, outside that great question let us hope   and I am sure you all hope with me, and, that you feel the same confidence that I do   that our nation, surviving her long trial and her terrible sufferings, will join the other nations of the earth in that march towards prosperity and towards freedom which we all hope for her, and are determined to secure for her .",0.056,0.624,0.32,0.9792
speech_00005,parnell_source_00019,1875,"He hoped the day would soon come when England would see the mistake in her method of governing Ireland, when she would learn that the only safe way was to rule by the free will and affections of the Irish people, when England's necessity would be no longer Ireland's opportunity, and when England, in her hour of need, might rely upon the strong arms and faithful hearts of a contented and prosperous Irish nation, truly independent and free.",0.046,0.636,0.318,0.9786
speech_00073,parnell_source_00317,1885,"He looked forward to the future with a light heart, and he was confident that the 500,000 Irishmen who would vote in a few years would be as true or truer to Ireland than those who had done so before, and that they might safely trust to them the exercise of the great and important privilege   unequalled in its greatness in the history of any country   which would shortly be placed upon them.",0,0.694,0.306,0.9786
speech_00076,parnell_source_00326,1886,"I have never been so far down in this direction before, although some of the earlier years of my life were spent at a school in the neighbouring county of Somerset and it is a curious fact that it was the school of Plymouth Brothers, so that any mischief that you may be disposed to admit to me  as well as some good   some little good    that some of you may be disposed to admit I have done in the course of my life  you must, in fairness, attribute it, or, at all events, a portion of it, to the very excellent teaching which I received in my earlier years   to which I shall always look back with the greatest reverence, affection, and respect   from my pastors and masters in the neighbouring county of Somerset.",0.018,0.775,0.207,0.9782
speech_00073,parnell_source_00314,1885,"I am convinced that the five hundred or six hundred thousand Irishmen who, within a year, must vote for the men of their choice, will be as true to Ireland, even truer to Ireland than those who have gone before them, and that we may safely trust to them the exercise of the great and important privileges, unequalled in its greatness and its magnitude in the history of any nation, which will shortly be placed upon them.",0,0.71,0.29,0.9776
speech_00073,parnell_source_00308,1885,"I am convinced that the five hundred or six hundred thousand Irishmen who within a year must vote for the men of their choice will be as true to Ireland, even truer to Ireland, than those who have gone before them, and that we may safely trust to them the exercise of the great and important privilege, unequalled in its greatness and its magnitude in the history of any nation, which will shortly be placed upon them.",0,0.71,0.29,0.9774
speech_00073,parnell_source_00310,1885,"He looked forward to the future with a light heart, for he was convinced that the 500,000 Irishmen who within a year must vote for the men of their choice, would be as true to Ireland, even truer to Ireland, than those who had gone before them      and that they might safely trust to them the exercise of the great and important privilege, unequalled in its greatness and magnitude in the history of any nation, which will shortly be placed upon them.",0,0.725,0.275,0.9774
speech_00073,parnell_source_00311,1885,"I am convinced that five or six hundred thousand Irishmen, who within a year must vote for the men of their choice, will be as true to Ireland and even truer to Ireland than those who have gone before them, and that we may safely trust to them the exercise of the great and important privilege, unequalled in its greatness and its magnitude in the history of any nation, which will shortly be placed upon them.",0,0.707,0.293,0.9774
speech_00073,parnell_source_00313,1885,"I am convinced that the 500,000 or 600,000 Irishmen, who within a year must vote for the man of their choice, will be as true to Ireland, even truer to Ireland, than those who have gone before them, and that we may safely trust to them the exercise of the great and important privilege   unequalled in its greatness and its magnitude in the history of any nation   which will shortly be placed upon them.",0,0.701,0.299,0.9774
speech_00073,parnell_source_00323,1885,"I am convinced that the five or six hundred thousand Irishmen who within a year must vote for the man of their choice will be as true to Ireland, and even truer to Ireland than those who have gone before them, and that we may safely trust to them the exercise of the great and important privilege, unequalled in its greatness and magnitude in the history of any nation, which will shortly be placed upon them.",0,0.707,0.293,0.9774
speech_00073,parnell_source_00330,1885,"I am convinced that the 500,000 or 600,000 Irishmen who within a year must vote for the man of their choice will be as true to Ireland, even truer to Ireland than those who have gone before them, and that we may safely trust to them the exercise of the great and important privilege   unequalled in its greatness and its magnitude in the history of any nation   which will shortly be placed upon them.",0,0.701,0.299,0.9774
speech_00073,parnell_source_00314,1885,"But when I approached Ireland I found myself getting better and better , and when I landed      when I reached Dublin and came near your beautiful city of Cork the change became increasingly marked , so that when I reached your city I felt myself quite restored and strong as if nothing had ever been the matter with me .",0,0.625,0.375,0.9771
speech_00077,parnell_source_00327,1886,"But excitement and political passion arise, and under the influence of excitement an political passion no statesman, however eminent, is to be trusted to use exceptional laws.",0.058,0.393,0.549,0.9769
speech_00075,parnell_source_00325,1886,"But in any case the Catholics of Ireland are perfectly willing that any guarantees that the ingenuity of man can frame for the protection of the minority shall be framed and shall be put in force; and it would be found that the Catholics would treat much more justly and much more generously the 1,000,000 Protestants of Ireland in regard to their future representation in the Irish Parliament than the Protestants of England and Scotland have treated the 2,000,000 of Catholics in regard to their just representation in this Imperial Parliament.",0,0.782,0.218,0.9768
speech_00073,parnell_source_00311,1885,"But when I approached Ireland I found myself getting better and better , and when I landed and came near your beautiful city of Cork the change became increasingly marked , so that when I reached your city I felt myself quite restored and strong, as if nothing had ever been the matter with me.",0,0.625,0.375,0.9766
speech_00068,parnell_source_00298,1880,"They were told that they must not use the Forms of the House; but he could assure the Government that when they fettered Irish Members in this way, and prevented their enjoying the same freedom and liberties as the English Members, they were taking one step to render it impossible for Ireland to continue to send her Members here to claim any sort of justice whatever.",0,0.721,0.279,0.9757
speech_00002,parnell_source_00005,1875,"Let them also not forget, while duly appreciating the Ulster custom, which had made the people of that province amongst the most intelligent and prosperous of any part of Great Britain and Ireland   let them not forget that the basis of tenure in other parts of the country was of far older origin, and in its original and ancient integrity, many centuries back, gave equal claims to the tenant with those enjoyed by the North at a comparatively modern date.",0,0.717,0.283,0.9755
speech_00005,parnell_source_00027,1875,"He hoped the day would soon come when England would see the mistake in her method of governing Ireland, when she would learn that the only safe way was to rule by the free will and would be no longer Ireland's opportunity, and when England in her hour of need might rely upon the strong arms and faithful hearts of a contented and prosperous Irish nation, truly independent and free .",0.05,0.626,0.324,0.9747
speech_00005,parnell_source_00028,1875,"He hoped the day would soon come when England would see the mistake in her method of governing Ireland, when she would learn that the only safe way was to rule by the free will and would be no longer Ireland's opportunity, and when England in her hour of need might rely upon the strong arms and faithful hearts of a contented and prosperous Irish nation, truly independent and free",0.05,0.626,0.324,0.9747
speech_00076,parnell_source_00326,1886,"When the Southern States of America tried to leave the union the Northern States had the conscience, not only their own conscience, but the conscience of the civilized world in approval of their course in keeping them within the union; and it would be the same with you if, after you have conceded State rights would be in comparison with those enjoyed by the States of America, any demand were made to separate from England by force, you would have that moral influence and authority in compelling Ireland to remain within your Imperial union which you have not now got.",0.024,0.753,0.223,0.9737
"speech_00049, speech_00050",parnell_source_00249,1886,"In the afternoon, according to promise, Mr Parnell addressed a gathering of the electors in Eyre Square, opposite the Railway Hotel, from the steps of which he spoke... Mr Parnell, who was received with loud cheers, said   Fellow countrymen, I feel very proud and very happy in being able to address so magnificent and vast meeting of the people of Galway, but the circumstances under which this meeting has been called gave me greater encouragement and greater hope than any that I have ever felt since I first entered into public life .",0,0.756,0.244,0.9734
speech_00053,parnell_source_00302,1886,"The right hon gentleman argued that there was a great disparity between the Protestants of the north eastern counties and the Catholics of the western counties in point of relative wealth, but the right hon gentleman showed that disparity to be a great deal larger than actually exists by the system which he chose, and, of course, he was perfectly entitled to choose his own system of calculating the relative wealth of the different counties.",0.019,0.727,0.254,0.9729
