speech_id,file,year,sentence,negative,positive,sum positive/negative
speech_00072,parnell_source_00305,1880,Well!,0,1,1
speech_00091,parnell_source_00346,1885,A CHALLENGE.,0,1,1
speech_00091,parnell_source_00346,1885,OUTRAGE .,1,0,1
speech_00093,parnell_source_00348,1885,No.,1,0,1
speech_00090,parnell_source_00345,1885,A STRONG IRISH PARTY.,0,0.857,0.857
speech_00090,parnell_source_00345,1885,ENGLAND'S FAILURE.,0.767,0,0.767
speech_00072,parnell_source_00306,1880,Help us then to kill this famine.,0.568,0.174,0.742
speech_00076,parnell_source_00326,1886,Well the Act failed.,0.446,0.284,0.73
speech_00052,parnell_source_00266,1886,"Oh, no!",0.714,0,0.714
speech_00076,parnell_source_00326,1886,Oh no!,0.714,0,0.714
speech_00050,parnell_source_00262,1886,Certainly not.,0,0.706,0.706
speech_00053,parnell_source_00282,1886,We understand this perfectly well.,0,0.703,0.703
speech_00053,parnell_source_00303,1886,We understand this perfectly well.,0,0.703,0.703
speech_00075,parnell_source_00325,1886,But I have no such apprehension.,0.698,0,0.698
speech_00053,parnell_source_00302,1886,I admit a desire and a strong sentiment in the matter.,0,0.69,0.69
speech_00053,parnell_source_00282,1886,"No, Sir.",0.688,0,0.688
speech_00053,parnell_source_00303,1886,"No, Sir.",0.688,0,0.688
speech_00073,parnell_source_00307,1885,That victory was a remarkable one.,0,0.688,0.688
speech_00093,parnell_source_00348,1885,You triumphed over and broke down coercion .,0.424,0.256,0.68
speech_00073,parnell_source_00331,1885,Let factions die!,0.677,0,0.677
speech_00053,parnell_source_00282,1886,"With great respect to the cries of ""No!""",0.178,0.493,0.671
speech_00072,parnell_source_00305,1880,"No landlords there, therefore no famines there.",0.664,0,0.664
speech_00022,parnell_source_00096,1875,What a fire in his eloquence!,0.276,0.379,0.655
"speech_00087, speech_00088",parnell_source_00341,1880,A peaceful solution should be offered.,0,0.647,0.647
speech_00076,parnell_source_00326,1886,Is that loyalty?,0,0.636,0.636
speech_00073,parnell_source_00310,1885,His victory was a very remarkable one.,0,0.633,0.633
speech_00073,parnell_source_00311,1885,My victory was a very remarkable one.,0,0.633,0.633
speech_00073,parnell_source_00330,1885,My victory was a very remarkable one.,0,0.633,0.633
speech_00073,parnell_source_00332,1885,His victory was a very remarkable one.,0,0.633,0.633
speech_00073,parnell_source_00329,1885,ENCOURAGE IRISH INDUSTRIES.,0,0.623,0.623
speech_00048,parnell_source_00232,1876,No doubt hon. gentlemen have enjoyed their dinner .,0.362,0.254,0.616
speech_00050,parnell_source_00261,1886,The meeting broke up with most uproarious Irish cheers.,0.181,0.431,0.612
speech_00083,parnell_source_00337,1880,The distress in Ireland is very great.,0.266,0.343,0.609
speech_00077,parnell_source_00327,1886,"But excitement and political passion arise, and under the influence of excitement an political passion no statesman, however eminent, is to be trusted to use exceptional laws.",0.058,0.549,0.607
speech_00052,parnell_source_00266,1886,"But there are, undoubtedly, great faults and blots in the measure.",0.328,0.278,0.606
speech_00052,parnell_source_00267,1886,But there are undoubtedly great faults and blots in the measure.,0.328,0.278,0.606
speech_00052,parnell_source_00269,1886,"But there are, undoubtedly, great faults and blots in the measure.",0.328,0.278,0.606
speech_00052,parnell_source_00270,1886,But there are undoubtedly great faults and blots in the measure.,0.328,0.278,0.606
speech_00052,parnell_source_00271,1886,"But there are, undoubtedly, great faults and blots in the measure.",0.328,0.278,0.606
speech_00052,parnell_source_00272,1886,But there are undoubtedly great faults and blots in the measure.,0.328,0.278,0.606
speech_00052,parnell_source_00274,1886,But there are undoubtedly great faults and blots in the measure.,0.328,0.278,0.606
speech_00052,parnell_source_00277,1886,But there are undoubtedly great faults and blots in the measure.,0.328,0.278,0.606
speech_00052,parnell_source_00278,1886,But there were undoubtedly great faults and blots in the measure.,0.328,0.278,0.606
