speech_id,file,year,sentence,negative,positive,sum positive/negative
speech_00001,parnell_source_00001,1874,"Mr Charles Stewart Parnell, High Sheriff of Wicklow, occupied the chair, and amongst those on the platform were   Mr Butt, M.P.; Mr Meldon, M.P.; Mr A. M. Sullivan, M.P.; Mr Fay, M.P.; Dr. O'Leary, M.P., and the Hon. Judge Little, all of whom were enthusiastically received.",0.0,0.074,0.074
speech_00001,parnell_source_00002,1874,"The Home Rule League On Saturday evening a public meeting of this body was held in the Round Room of the Rotundo, which was densely thronged both in gallery and body.",0.0,0.0,0.0
speech_00001,parnell_source_00002,1874,"Besides the gentlemen named, there were present:  Messrs.",0.0,0.0,0.0
speech_00001,parnell_source_00002,1874,"C.S. Parnell, High Sheriff, county Wicklow; Alfred Webb, Hon. Judge Little, George Delany, C.V. Macartney, C.E.; T.L. Stirling, Tullamore; Thomas E. Hearn, J.J. Burke, R.B. Butt, Captain Kirwan, Joseph Begg, J.J. Dodd, James Burke, solicitor; A.J. Kettle, Malahide; P. Egan, J.G. Swift MacNeill, A. Crilly, Liverpool; J.J. Kennedy, J. Clancy, J.L. Scallan, solicitor; Thomas Ryan, Patk.",0.0,0.032,0.032
speech_00001,parnell_source_00002,1874,"Crowley, J.R. McCludkey, M.D., Derry; John Burns, John Stewart, Kilrush; John Reville, New York Herald; L.P.",0.0,0.0,0.0
speech_00001,parnell_source_00002,1874,"Hayden, Roscommon;   Conway, Patrick Carey,   Scallan, ; N.B. West, J.F. Shackleton, .",0.0,0.0,0.0
speech_00001,parnell_source_00002,1874,A Voice   And never will.,0.0,0.0,0.0
speech_00001,parnell_source_00004,1874,Irish Home Rule League A public meeting of the Irish Home Rule League was held in the Round Room of the Rotundo at eight o'clock on Saturday evening.,0.0,0.0,0.0
speech_00001,parnell_source_00004,1874,"The chair was taken by the High Sheriff of the County Wicklow, Mr S O Parnell The body of the meeting, however, consisted of persons apparently of the artisan class.",0.0,0.0,0.0
speech_00001,parnell_source_00004,1874,Several ladies occupied seats in the galleries.,0.0,0.0,0.0
