year,term,score
1874,home rule,0.5170249305188428
1874,rule,0.49450529008877153
1874,meeting,0.47941647763665085
1874,home,0.4490827582355129
1874,speech,0.23797952962861332
1874,taken,0.8642062593031242
1874,gentlemen,0.39713847528020657
1874,parnell,0.308915154748701
1874,life,0.6386218001377426
1874,justice,0.3158973498668709
1874,duty,0.30383502029412607
1874,night,0.2914156569741113
1874,division,0.2914156569741113
1874,confidence,0.27915755887431315
1874,true,0.2614606103851345
1874,cause,0.2548086426853562
1874,ireland,0.13780832004161656
1874,constitution,0.47036380249057347
1874,times,0.47036380249057347
1874,division,0.45516282244595524
1874,night,0.45516282244595524
1874,english,0.37837732059318957
1874,constitution,0.7585239379015316
1874,long,0.6516451761736239
1874,home rule,0.5481257290491554
1874,rule,0.5242514560691839
1874,home,0.47609660527245135
1874,meeting,0.25412750025328845
1874,speech,0.2522948033580458
1874,parnell,0.18739649005717204
1874,party,0.1862786078418892
1874,gentlemen,1.0
1874,life,0.5701141302948651
1874,night,0.5203085262490816
1874,justice,0.28200970095752925
1874,duty,0.2712413486522804
1874,division,0.2601542631245408
1874,confidence,0.2492111432126803
1874,true,0.23341262146693817
1874,cause,0.2274742385631746
1874,ireland,0.1230250369013035
1874,history,0.670774965129072
1874,years,0.584285182282264
1874,country,0.4568060550402913
1874,constitution,0.47036380249057347
1874,times,0.47036380249057347
1874,division,0.45516282244595524
1874,night,0.45516282244595524
1874,english,0.37837732059318957
