year,term,score
1874,parnell,1
1874,gentlemen,1
1874,west,1
1874,several,1
1874,john,0.960383139
1874,captain,0.674019681
1874,county,0.609044509
1874,rule,0.600454579
1874,home,0.559247989
1874,taken,0.541089176
1874,meeting,0.541089176
1874,county,0.530770184
1874,rule,0.489450805
1874,evening,0.459012147
1874,home,0.455861922
1874,meeting,0.422827242
1874,parnell,0.418045757
1874,public,0.403921762
1874,parnell,0.364318568
1874,irish,0.344625923
1874,evening,0.281556331
1874,new,0.278683022
1874,meeting,0.259360645
1874,public,0.247764095
