year,term,score
1875,doubt,0.7116268023149545
1875,tenant,0.70255768035585
1875,county,0.6651267535023404
1875,gentlemen,0.5890711356615236
1875,parnell,0.4589134982824976
1875,county,0.6651267535023404
1875,gentlemen,0.5890711356615236
1875,parnell,0.4589134982824976
1875,protection,0.44074307760339615
1875,tenants,0.42854065127099145
1875,given,0.4003065900725318
1875,act,0.3927619237168998
1875,landlords,0.3631015341606097
1875,good,0.35830254474016776
1875,ireland,0.2176412582635816
1875,tenants,0.48814483484410726
1875,fair,0.47063797433117255
1875,without,0.47063797433117255
1875,happy,0.4473897722823058
1875,country,0.344320789536599
1875,interests,0.49745541028997825
1875,parliament,0.47073016454106925
1875,prisoners,0.4669107677877338
1875,political,0.4596939752951038
1875,people,0.3187899166624009
1875,friend,0.8016040673337586
1875,parnell,0.5978552661254853
1875,crime,0.541705790120799
1875,coercion,0.522278015760096
1875,time,0.4723476141124471
1875,bill,0.45898610288937575
1875,england,0.5783128508724518
1875,free,0.4000567928890418
1875,nation,0.3823627310628731
1875,strength,0.378523349474655
1875,day,0.3366352512674763
1875,irish,0.2456654494816145
1875,ireland,0.2057980060904879
1875,address,0.7759426853418129
1875,good,0.6308034155460291
1875,peace,0.5990780820289668
1875,given,0.5930626177297833
1875,bill,0.5379425462667842
1875,beyond,0.561560803559201
1875,tenant,0.5125709955834872
1875,every,0.4429513196243837
1875,government,0.39520702515739126
1875,ireland,0.2636777846193332
1875,government,0.6062008673493302
1875,confidence,0.39818623268415787
1875,ability,0.3757247768451054
1875,respect,0.3683634301895313
1875,england,0.28413656613015925
1875,parnell,0.27473415562793546
1875,ireland,0.20222527885648375
1875,free,0.5270971247974278
1875,england,0.3809797088145165
1875,irish,0.3236779236985522
1875,hoped,0.27455188960603455
1875,longer,0.26695063758965043
1875,strong,0.25189210601509715
1875,nation,0.25189210601509715
1875,opportunity,0.24247107066636764
1875,day,0.22176785421783893
1875,irish people,0.21518335022100188
1875,people,0.16142283674764007
1875,ireland,0.135575172359873
1875,favour,0.4559087584818649
1875,county,0.4432864546446187
1875,place,0.4376371186346299
1875,meath,0.41828092128418226
1875,day,0.3682579174112517
1875,parnell,0.30585168401513085
1875,county,0.7158804807510302
1875,whole,0.6982228421354274
1875,parts,0.523150912923784
1875,county,0.5086669407411802
1875,greatest,0.49612035334730537
1875,satisfaction,0.47056950676660364
1875,meath,0.8419496894326213
1875,people,0.5395560401518201
1875,hoped,0.3840666191516292
1875,division,0.37854529068798903
1875,magnificent,0.373433338982109
1875,victory,0.373433338982109
1875,meath,0.3523681796072247
1875,strength,0.348829979382278
1875,cause,0.31222735871443946
1875,people,0.22581204322612256
1875,ireland,0.18965412390303707
1875,six,0.5285724492804478
1875,five,0.521434500664393
1875,greatest,0.5085729934407573
1875,cause,0.4359710285342949
1875,irishman,0.478827762509478
1875,county,0.4723615761439459
1875,noble,0.4412404080375031
1875,parliament,0.42177033286028215
1875,gentlemen,0.41834818496893067
1875,tenant,0.5152664102829297
1875,whole,0.5090444121362788
