year,term,score
1876,parnell,1
1876,result,1
1876,rent,1
1876,parnell,1
1876,purpose,1
1876,parnell,1
1876,reason,1
1876,parnell,1
1876,opinion,1
1876,parnell,1
1876,therefore,1
1876,gentlemen,1
1876,vote,1
1876,parnell,1
1876,therefore,1
1876,parnell,1
1876,vote,1
1876,parnell,1
1876,fact,1
1876,forward,1
1876,government,1
1876,subject,1
1876,gave,1
1876,man,1
1876,men,1
1876,subject,1
1876,man,1
1876,believed,1
1876,government,1
1876,irish,1
1876,power,1
1876,men,1
1876,parnell,1
1876,man,1
1876,statement,1
1876,parnell,1
1876,opinion,1
1876,gentlemen,1
1876,prevent,0.873573668
1876,anything,0.871558153
1876,got,0.865108054
1876,division,0.859635314
1876,amendment,0.855025745
1876,words,0.855025745
1876,county,0.84315454
1876,years,0.841582658
1876,took,0.831447548
1876,believed,0.818018509
1876,believed,0.818018509
1876,asked,0.80598302
1876,catholic,0.803329936
1876,committee,0.774916564
1876,two,0.769892532
1876,proceedings,0.768836105
1876,chairman,0.767190607
1876,country,0.7667098
1876,statement,0.765298776
1876,ought,0.761117871
1876,statement,0.751844206
1876,next,0.742682887
1876,years,0.734026286
1876,proceedings,0.726432018
1876,dublin,0.726014515
1876,chairman,0.723401549
1876,found,0.721429635
1876,irishman,0.718374174
1876,irishman,0.718374174
1876,chief,0.715873443
1876,chairman,0.715720722
1876,chairman,0.715720722
1876,chairman,0.712964238
1876,irish,0.710597091
1876,fact,0.709452681
1876,meath,0.701200396
1876,clause,0.698386604
1876,clause,0.698386604
1876,secretary,0.698230058
1876,fact,0.695656917
1876,fact,0.695656917
1876,fact,0.692487749
1876,position,0.690448045
1876,gentlemen,0.690427548
1876,meath,0.687679376
1876,gave,0.687238331
1876,years,0.686159318
1876,years,0.686159318
1876,chairman,0.673031214
1876,rights,0.669643286
1876,years,0.667815811
1876,several,0.664434523
1876,find,0.663671126
1876,taken,0.659340799
1876,chairman,0.654632447
1876,irish,0.652888608
1876,taken,0.646113118
1876,home,0.645986534
1876,local,0.644208519
1876,local,0.644208519
1876,irish,0.641993834
1876,found,0.641083633
1876,order,0.639445888
1876,clause,0.638777832
1876,order,0.638585717
1876,order,0.638585717
1876,order,0.638585717
1876,question,0.638173557
1876,business,0.637036959
1876,county,0.635029811
1876,county,0.635029811
1876,bill,0.63206354
1876,work,0.631951492
1876,matter,0.628162829
1876,matter,0.628162829
1876,matter,0.628162829
1876,nothing,0.627186108
1876,nothing,0.627186108
1876,year,0.625814756
1876,general,0.625611277
1876,fact,0.623836614
1876,fact,0.623836614
1876,read,0.62017833
1876,party,0.606123022
1876,read,0.602734085
1876,gave,0.599398061
1876,secretary,0.598009503
1876,wished,0.597358291
1876,wished,0.597358291
1876,wished,0.597358291
1876,action,0.596716157
1876,men,0.592246865
1876,men,0.592246865
1876,question,0.591938655
1876,times,0.591512445
1876,men,0.591422882
1876,home,0.587396733
1876,first,0.587089681
1876,several,0.585875201
1876,committee,0.577313582
1876,back,0.576336685
1876,got,0.576336685
1876,back,0.576336685
1876,got,0.576336685
1876,several,0.576320053
1876,country,0.575191897
1876,country,0.575191897
1876,gave,0.574021498
1876,english,0.573268738
1876,year,0.570061295
1876,got,0.568517673
1876,taken,0.56622641
1876,country,0.564856812
1876,vote,0.564112353
1876,night,0.563579556
1876,law,0.563227518
1876,meath,0.561897528
1876,obtain,0.55670522
1876,question,0.555603254
1876,home,0.551075969
1876,asked,0.551075969
1876,prime minister,0.550291301
1876,irishman,0.54753295
1876,believed,0.5469897
1876,night,0.546695494
1876,prime,0.545648209
1876,got,0.543791903
1876,office,0.543791903
1876,secretary,0.543771131
