term,score,date
night,1.7220498281151033,1874
constitution,1.6992515428826784,1874
division,1.4618955649905625,1874
gentlemen,1.3971384752802065,1874
life,1.2087359304326077,1874
home rule,1.065150659567998,1874
rule,1.0187567461579554,1874
times,0.9407276049811469,1874
home,0.9251793635079643,1874
taken,0.8642062593031242,1874
english,0.7567546411863791,1874
meeting,0.7335439778899393,1874
history,0.670774965129072,1874
long,0.6516451761736239,1874
justice,0.5979070508244002,1874
years,0.584285182282264,1874
duty,0.5750763689464065,1874
confidence,0.5283687020869934,1874
parnell,0.4963116448058731,1874
true,0.49487323185207266,1874
speech,0.4902743329866591,1874
cause,0.4822828812485308,1874
country,0.4568060550402913,1874
ireland,0.26083335694292004,1874
party,0.1862786078418892,1874
