term,score,date
ireland,48.832553095597156,1880
land,35.54274331478373,1880
parnell,28.86437620618408,1880
government,28.33711708668169,1880
bill,25.075604324749186,1880
people,23.80766127568221,1880
irish,21.702913007513754,1880
money,21.200279216647463,1880
landlords,20.006503135989927,1880
right,19.411109074435302,1880
question,18.786652991856553,1880
time,18.366395492758844,1880
system,17.906961482976076,1880
tenants,17.04769463171199,1880
act,16.718293380817713,1880
country,14.72906893727783,1880
committee,14.595290193523212,1880
proposed,14.02658602928311,1880
wished,13.755281152719883,1880
clause,12.10145592178957,1880
two,11.680796141783286,1880
new,11.50239979051975,1880
years,10.947482906668752,1880
position,10.81931047664253,1880
make,10.571400741336916,1880
go,10.063108050238384,1880
public,9.667362807839869,1880
tenant,9.525477310786163,1880
take,9.485692137281395,1880
works,9.304389370544662,1880
asked,9.290027638808674,1880
given,9.076428478367717,1880
state,8.766241978399982,1880
rent,8.659986621970532,1880
taken,8.629719403054999,1880
order,8.599172337910334,1880
chief,8.531287759390386,1880
chief secretary,8.46707796632617,1880
police,8.235079036452216,1880
found,8.169855293479277,1880
per,8.135780743261016,1880
landlord,8.092275964546019,1880
secretary,8.061296231815103,1880
church,7.871550496245716,1880
notice,7.856507606583767,1880
english,7.667123475399179,1880
pay,7.558556239936266,1880
paid,7.48999943913252,1880
purpose,7.3334886445871,1880
motion,7.174662559523658,1880
