term,score,date
ireland,10.861313841896429,1885
country,10.60357308978729,1885
strong,9.976257924372698,1885
irishmen,9.638412043290185,1885
english,9.210048857977174,1885
convinced,8.71995868157069,1885
party,8.690876005378257,1885
people,8.319399036253106,1885
irish,8.299868770432802,1885
time,7.584461140239231,1885
trust,7.474312631730636,1885
near,6.804656948928545,1885
rights,6.599651017360852,1885
true,6.497956087654306,1885
strength,6.420196419771409,1885
future,6.336079201175244,1885
dublin,6.146395232972181,1885
election,6.070048840896856,1885
gone,6.04097581360365,1885
even,6.019666186738213,1885
opposition,5.828956503282542,1885
hand,5.618677329026629,1885
anything,5.359911484239644,1885
cause,5.3444287354970434,1885
existed,5.231784589964795,1885
electors,5.146624962357707,1885
history,5.093155050644722,1885
help,4.997777231196531,1885
general,4.98979099840724,1885
men,4.910739408752713,1885
nothing,4.7941581596639375,1885
parliamentary,4.787743661297822,1885
policy,4.772081967191464,1885
placed,4.769581704125479,1885
parties,4.731760989479925,1885
position,4.721836661572108,1885
vote,4.673288246397777,1885
contend,4.48385108031857,1885
duty,4.429716909595676,1885
day,4.38433774633038,1885
far,4.367411353068624,1885
times,4.267373173282432,1885
nation,4.265736257393103,1885
division,4.235845006054996,1885
confidence,4.191502684823748,1885
matter,4.094844037618234,1885
possible,4.030425357965734,1885
question,4.002218899508806,1885
every,3.9037712465974854,1885
power,3.8948372206298525,1885
