term,score,date
ireland,10.590645565549035,1885
irish,6.69849268207132,1885
victory,6.5791755217402965,1885
party,6.264758578981253,1885
parnell,6.201207798904107,1885
act,5.780147033207887,1885
question,5.4345914777449655,1885
constitution,5.239994252730569,1885
struggle,5.147484763075705,1885
trust,5.077163464338199,1885
country,4.986034747073836,1885
remarkable,4.563000331591991,1885
people,4.360595293381932,1885
nothing,4.212694973617149,1885
far,4.108564496971012,1885
interests,4.023089531263173,1885
irishmen,3.9844919765530076,1885
desire,3.9528647361079376,1885
future,3.903070825360037,1885
parliament,3.6678491166965657,1885
coercion,3.4660566899207925,1885
times,3.3900541871513594,1885
strong,3.3217909752681756,1885
even,3.224407967084979,1885
tenant,3.1422562776527556,1885
true,3.0457535500283393,1885
england,3.012495924353525,1885
success,2.990961423526108,1885
voice,2.9874163850548525,1885
hope,2.8605441822866537,1885
strength,2.8457749929738148,1885
found,2.6854862024924127,1885
cannot,2.683899256017204,1885
beyond,2.58752344528636,1885
sometimes,2.58752344528636,1885
whole,2.5551177241609255,1885
english,2.5347641343828475,1885
history,2.493420134380176,1885
possible,2.4316707793954744,1885
years,2.415606555106024,1885
confidence,2.4117867739199137,1885
time,2.2716802366710245,1885
matter,2.2153025165786038,1885
felt,2.153478145084878,1885
doubt,2.133850144614625,1885
every,2.111771074140994,1885
cause,2.0454933481478204,1885
prosperity,2.0448447793161697,1885
outrages,2.021215296371445,1885
another,2.00869767206327,1885
