term,score,date
right,42.157682949888994,1886
ireland,27.408825481487728,1886
irish,23.443948907203684,1886
bill,22.293667656215437,1886
question,21.346051373345695,1886
oshea,17.13685703868631,1886
galway,16.71177126098343,1886
people,16.534601704195083,1886
lynch,15.133353842539542,1886
years,14.244274896866465,1886
parnell,13.645169008733266,1886
parliament,12.940993415774035,1886
lord,12.6681125817369,1886
speech,12.35144015080074,1886
ulster,12.318884768683048,1886
country,12.283217759105874,1886
day,12.037918717704942,1886
go,11.913638881942466,1886
order,10.688974102167737,1886
matter,9.424072772972451,1886
night,9.266143303735372,1886
explained,9.182491253114161,1886
per,8.932761765808516,1886
vote,8.73840250868982,1886
protestants,8.66012547325218,1886
settlement,8.627018718542853,1886
first,8.482010638588127,1886
nothing,8.382906029962367,1886
point,8.381092408285195,1886
man,8.329433049626715,1886
consideration,8.24809340950313,1886
two,8.239432341905694,1886
time,8.18100865104139,1886
duty,7.946727663161365,1886
things,7.91472697617929,1886
even,7.896282278547146,1886
withdrawn,7.85175515150656,1886
voted,7.8508621701339525,1886
east,7.534268760930806,1886
left,7.498050637790274,1886
measure,7.351629479973525,1886
men,7.344592024872636,1886
captain,7.180891387061826,1886
necessary,6.9925544816591625,1886
far,6.861122347699627,1886
opinion,6.849570733102714,1886
act,6.708078281980003,1886
case,6.7009355214238715,1886
imperial,6.668730111674964,1886
irish people,6.583414670504508,1886
