term,score,date
right,21.967354788613132,1886
ireland,20.606550352787217,1886
irish,16.33388680460922,1886
question,14.673042019417712,1886
party,11.96467269716474,1886
every,10.043431328325257,1886
parnell,9.98562618568473,1886
man,9.985253582995798,1886
fact,9.631227616823434,1886
people,9.450872316088828,1886
lynch,9.13694868315062,1886
bill,8.882974219016331,1886
minority,7.818878588232888,1886
fear,7.688381553708749,1886
cannot,7.582683655563628,1886
extraordinary,7.437644900597022,1886
desire,7.340160059835487,1886
measure,7.309914964317866,1886
remarkable,7.0647338573924525,1886
small,7.040070133978699,1886
oshea,6.879017925236258,1886
galway,6.851943674182789,1886
violent,6.733558562321939,1886
spirit,6.506782031784771,1886
good,6.489050455014735,1886
parliament,6.445358003950274,1886
always,6.437484766153,1886
back,6.285322641405083,1886
battle,6.270915809338057,1886
coercion,6.190803915769696,1886
corner,5.966110468163519,1886
settlement,5.861619265093808,1886
point,5.859293679982699,1886
thing,5.8406917966329726,1886
circumstances,5.826473151304647,1886
lord,5.73314004718541,1886
outrages,5.693303962315789,1886
england,5.67741872532023,1886
admit,5.627770682815814,1886
power,5.606870545148012,1886
day,5.514569844168571,1886
cheerfully,5.483757669732791,1886
successful,5.441430591564577,1886
englishmen,5.406262710640219,1886
accepted,5.39800237389206,1886
friend,5.335146233915204,1886
two,5.171829429392714,1886
danger,5.137454931279465,1886
like,5.128419321937032,1886
voice,5.114121184665464,1886
