term,combined score,date,score category
body,1.1806811829859791,1874,unique neutral score
new,1.0,1874,unique neutral score
several,1.0,1874,unique neutral score
voice,1.0,1874,unique neutral score
west,1.0,1874,unique neutral score
evening,0.5513416914565037,1874,unique neutral score
public,0.508652360396191,1874,unique neutral score
county,0.471535221143913,1874,unique neutral score
irish,0.3028242503910408,1874,unique neutral score
night,1.722049828115103,1874,unique high sentiment score
constitution,1.6992515428826784,1874,unique high sentiment score
division,1.4618955649905625,1874,unique high sentiment score
life,1.2087359304326075,1874,unique high sentiment score
times,0.9407276049811468,1874,unique high sentiment score
english,0.7567546411863791,1874,unique high sentiment score
history,0.670774965129072,1874,unique high sentiment score
long,0.6516451761736239,1874,unique high sentiment score
justice,0.5979070508244002,1874,unique high sentiment score
years,0.584285182282264,1874,unique high sentiment score
duty,0.5750763689464065,1874,unique high sentiment score
confidence,0.5283687020869934,1874,unique high sentiment score
true,0.4948732318520726,1874,unique high sentiment score
speech,0.4902743329866591,1874,unique high sentiment score
cause,0.4822828812485308,1874,unique high sentiment score
country,0.4568060550402913,1874,unique high sentiment score
ireland,0.26083335694292,1874,unique high sentiment score
party,0.1862786078418892,1874,unique high sentiment score
