term,combined score,date,score category
history,0.558267369995531,1874,unique neutral score
battle,0.5437098161994761,1874,unique neutral score
years,0.4917438647124991,1874,unique neutral score
country,0.3884651218374958,1874,unique neutral score
parnell,1.7823643254692236,1874,unique high sentiment score
meeting,1.223277063005666,1874,unique high sentiment score
county,1.139814693511755,1874,unique high sentiment score
rule,1.0899053847058848,1874,unique high sentiment score
home,1.0151099111229211,1874,unique high sentiment score
gentlemen,1.0,1874,unique high sentiment score
several,1.0,1874,unique high sentiment score
west,1.0,1874,unique high sentiment score
john,0.9603831387249842,1874,unique high sentiment score
evening,0.7405684773765152,1874,unique high sentiment score
captain,0.6740196812122551,1874,unique high sentiment score
public,0.6516858563558505,1874,unique high sentiment score
taken,0.5410891757806027,1874,unique high sentiment score
irish,0.3446259230922354,1874,unique high sentiment score
new,0.2786830221824573,1874,unique high sentiment score
