term,combined score,date,score category
long,0.4865871140641506,1892,unique neutral score
public,0.4592962587534684,1892,unique neutral score
irish people,0.4342050202769237,1892,unique neutral score
years,0.3943556656501614,1892,unique neutral score
people,0.3353586106550751,1892,unique neutral score
irish,0.309457814115624,1892,unique neutral score
nation,0.5179495514730574,1892,unique high sentiment score
lead,0.4145941419284644,1892,unique high sentiment score
courage,0.4051586115383428,1892,unique high sentiment score
interests,0.3967182419904859,1892,unique high sentiment score
necessary,0.3669525018816275,1892,unique high sentiment score
gained,0.1964048451770227,1892,unique high sentiment score
shown,0.1848818235373406,1892,unique high sentiment score
party,0.1334949964725942,1892,unique high sentiment score
right,0.114323623857246,1892,unique high sentiment score
